INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (63, '2023-08-23', '2023-04-03', 325.43);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (58, '2023-09-04', '2024-01-22', 664.78);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (18, '2024-01-07', '2023-05-23', 164.27);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (71, '2023-11-03', '2023-02-14', 83.46);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (33, '2023-04-28', '2023-12-08', 125.52);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (10, '2023-04-08', '2023-11-12', 313.68);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (3, '2023-12-12', '2023-04-01', 53.81);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (82, '2024-01-16', '2023-10-02', 647.43);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (94, '2024-01-02', '2023-06-19', 709.67);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (40, '2023-09-30', '2023-04-22', 735.57);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (98, '2024-01-29', '2023-04-11', 377.68);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (7, '2023-04-24', '2023-03-26', 960.64);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (68, '2023-05-16', '2023-03-06', 481.23);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (30, '2024-01-23', '2023-08-09', 705.45);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (17, '2023-12-15', '2023-11-26', 474.56);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (12, '2023-09-09', '2024-01-19', 779.54);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (76, '2023-10-17', '2023-09-12', 510.56);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (43, '2023-08-11', '2023-06-14', 637.96);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (65, '2023-10-11', '2023-06-09', 141.78);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (90, '2023-07-08', '2023-10-22', 423.22);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (80, '2024-02-09', '2023-06-02', 386.28);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (34, '2023-08-24', '2023-10-06', 105.36);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (87, '2023-12-03', '2023-07-16', 703.96);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (36, '2023-05-15', '2023-07-13', 205.39);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (45, '2023-10-22', '2023-09-30', 148.59);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (24, '2023-06-14', '2023-09-05', 480.15);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (1, '2023-09-05', '2023-03-16', 965.5);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (70, '2023-03-10', '2023-10-06', 760.03);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (53, '2023-02-28', '2023-05-17', 722.45);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (46, '2023-04-23', '2023-03-04', 662.18);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (27, '2024-01-24', '2023-10-27', 434.39);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (25, '2023-05-21', '2024-01-23', 57.63);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (35, '2023-10-18', '2023-08-05', 625.66);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (72, '2023-06-29', '2023-08-16', 973.62);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (75, '2023-02-22', '2023-03-25', 408.28);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (81, '2023-08-13', '2023-09-11', 710.66);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (96, '2023-12-23', '2023-02-12', 363.36);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (47, '2023-05-25', '2023-03-18', 500.39);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (69, '2023-05-13', '2023-06-15', 141.96);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (84, '2023-10-21', '2023-08-16', 604.02);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (21, '2023-07-30', '2023-06-25', 835.06);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (83, '2023-05-01', '2023-04-03', 761.02);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (85, '2023-03-23', '2023-10-19', 573.02);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (67, '2023-06-14', '2023-02-27', 810.9);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (61, '2023-05-09', '2023-08-24', 53.14);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (4, '2023-08-21', '2023-08-21', 546.72);
