INSERT INTO Product (P_name, P_type, Price, S_quantity, Descr) VALUES 
('Juan Wolfe', 'Books', 8112.34, 454, 'gBeaVcLRThvTSeLhhoryacPhUahvsMGrSACYErbpokEaYniQIeFwMNXfvGKGQBxUAqSXHEhkEsZfcQXKjXJCuTDgKgfLfNqBPpZk'),
('Shirley Abston', 'Food', 8297.44, 477, 'sHGVqrYMLhfRbcXOjTgUCHGjyoHnbbXXhVHOBbfNmnDZAjGxecZguOvxTciyBtFOrIWSGSqQrIrNzxRFWHNNpeXWTOvjsTmfRJnk'),
('June Hughes', 'Home & Kitchen', 5726.53, 50, 'xukQYqWnqtkQNFJPVIvxGtyBOmmatIFMjcMYrRIjsjtALexIctWQahlCYrCMaxmbAvPCbyhbyXSDdjKFcxikTzgfEnwizJBhPdIT'),
('Jo Smith', 'Electronics', 7241.15, 792, 'wmQydIGyxBerJUxUBfpaQPDGkaQMUemWCzDuzonfqPDKBmPWqpuUwAIcpCjYEUBWWceOYkkhVkgsPtSEBhQbBwfjyhcWzRRYDNWC'),
('Charles Clayton', 'Home & Kitchen', 8292.08, 826, 'GJryIguaAaZsIfofzvQCxmyxDlLmylhXRjPcKfQFBQelaCWoScbujwEOXwhwrYmOMFDSrmYGtnNMxsVmVEYtCicraohBdojBqBot'),
('Stephen Sanchez', 'Books', 419.06, 214, 'KbFdaGvqiwRbxftyXsREAoLnGuRsDFwdFfbIdwGubDwHYmUrQSFfubERQkRxfRNaGeyILPgHTXeOkIVpUAujPMMePhvloofjmqWo'),
('Matthew Gonzalez', 'Books', 3277.75, 413, 'VBibZxFegaPHFyYVzvGprnbuBxrhKcEwgEiguPDgXtPDsZcooMHCbXxSmcnlIwWcQDqLNQKgJNEGoXdViNLtwFpuIeSexbwxMwtG'),
('Richard Greiner', 'Food', 6444.99, 604, 'QLwUDqegHOJykfSHowBSYGiRudiZayalnikUQWXzQLQSdlYOMoEDhhUCJGpNjDbzgpBdHXfeYJUvJrZhxxnsqymfSPkTHkDZDYjg'),
('Frances Gaddy', 'Food', 1766.04, 393, 'VVfTmUwixSZpxcfbcYrNBLRYhlGwYTHfbsbchUgryyAjbkSsAOVDIdLjDVcRixQoAhHBSIZOboAYbuIQChvoUHWoAyotkxqlkHwt'),
('James Nelson', 'Clothing', 5701.53, 78, 'iuHAKDJRhhgKygIkABuQBboxKpBwaEAeToCFOUBZACjPvjNLnjBAuQBULVXiwLLmXaCBsYSQUxQpdeKcSdvQqQXniAvyCMUdiJtk'),
('Eva Jackson', 'Books', 9773.75, 696, 'VmHPjzgUNKKaVyUaBYDDecNSffxsyIrUVlWVkqIUwGwwOsKMbXnTmFToRVBQlxlloyGuQnOLHcKXWArYJCFrqAOIgakzYCLPPrqj'),
('John Ackland', 'Electronics', 7458.01, 224, 'rlamYWgTQqdnDGYXxClNeWDeDmIYEGiyOSMJsIZOspeYaaelMzJpKkNfBNkepFuemMclILBorZLxfgULZlxxHJOOhWrigkteiGym'),
('Alicia Corrente', 'Books', 6353.61, 392, 'DOjjovtVLsPuUsrtDwEcvpkegovIIKFXHqZOtpZULdDNmZoSwLnebHxgrHlgEypniKBvJMyhttuohRdzmHrBkzCqfiMftGMVKQaQ'),
('Ted Krylo', 'Books', 6839.16, 791, 'RjryfjdgujgbZKxvPIMiZIyHQhgIDneVqygeYcQcWBDZMxJcIiPScFKjxvvnWrCkqydFEnUQibLfzFvulHFAHNCuOzpPcAqRAXxa'),
('Christa Brown', 'Books', 558.45, 758, 'NEWouFfVdQnmvCaDQdsMLRfXnKyfaMxRARRFmrEUChGwkOAMTnYPrtvFbJbRyzpgEbbZezxxYIqUHlUzbvTIzqvFOkcYeOQwGdEW'),
('James Wicker', 'Books', 9443.59, 383, 'XdPdnrnYjOBvIjeimaDHYzDJzGFmFpXyfTCVzdVwhHubScYOIoURwIINUhXOUMRVhdDjedeAcMjuPibLvDNABvSbanZqMPkCbwKg'),
('Randy Dowdy', 'Home & Kitchen', 9766.76, 633, 'cnHXTJOaFyrLlSWTDmySIiUcSGEFxugDQAnTtiKBuXqeEzMLaXmcOvHqUTdPoVdlkeIPdDRQfNTzemlmqCRzPeuutFLCXSxnMwtn'),
('Pam Reid', 'Food', 804.8, 200, 'oEgJigNegtHDmcznqdRoqHaOKCZYkBkKzwGByLwfYzNXxWKKTLzwgYFpaCcJZeSCpJImFzuxQopbMHCWPyzBhCaXgWCFhIQkxZOX'),
('Allen Ellis', 'Clothing', 4763.52, 725, 'SUjxyCEiAMehoREgSDZeDRJOUSFgozEaDORqwGGgzBHafPVUvepUrnGJKRatsUYsHoXwCUkuDwGgAQNrsGwLILREfJCOgBoltQwj'),
('John Hardy', 'Home & Kitchen', 6094.54, 483, 'FpcmgbfcGwZjJyLbfTrKkYBRYVHHJfWHQTsZpLHJYnITYiPKxHetGRZasFzQzymACwvjJwsERbOSufSuSYxCfDwXKkJexyjGGHZz'),
('James Schrader', 'Home & Kitchen', 9254.0, 727, 'odZgnTOkNxIITWxIvRglWmCMFzWDoelcHzRUssPhSAlHipiSvfekrTwmlzDHnqlbTPQyytYJWjRSCWQGzgldxMGzTmIdnFKeuOrE'),
('Enrique Comer', 'Home & Kitchen', 7506.08, 485, 'jRFrOZFdPViOpRweldpEWisruWNDfWkBISAxGLswMdLtumHnZeHBEfywVxvqhqqbDSEpdxPskuqAEBtpVsqcWSGoMKFRMAfYwCEl'),
('Julie Clifton', 'Clothing', 4081.84, 657, 'NfxjfdPHRqAKldiPmoUrZkiaMZIwMMHRHDTNWHrAftLZUMrluCtepKJaRXMtSJLwzcxVwHRMbAuQxPWucQGQlAzGhlDNQZpEZgcm'),
('Alfred Ingram', 'Electronics', 250.9, 692, 'BFCGTPLYzNfiJADVQjvbckuYQQXuyKZfpWcFShblfwcxXGSVLFINfluRAfTEHYgdvjRyAniSrhdXOSmfZRYYyeKedFLidiBXxgGc'),
('Harold Maxam', 'Food', 5600.41, 406, 'XeWhXIVTaYpsfjKStfmzxQbHZRlkBbrJxfViDWFKJegurJhBTyzkZVYLySfcWcgtLmYJTZRyOtMblpwezUhCpEbicjauMTXhvlzM'),
('Brian Gibbs', 'Clothing', 9960.92, 524, 'EUYJDwFJWHsjzrUGGXfpshROjgQkuFDtPpOTsGNSjdHdxUhehJwSHJwSohBzXpVkQstSIIHxayLHoTqiYScSpoPhKKGGnRXazRJh'),
('Adelaide Gottschalk', 'Clothing', 3721.84, 789, 'UgIbMDzxzVKqvNvGWILPEXjlhexkEVaAEOiKfaIfORtvGiQsEuxFVwDzBKXSeoeqfYpKGrlnQVIogMbXExKBteZQOzdhkUPkutRM'),
('Mary Cole', 'Books', 1156.49, 354, 'dsuACnTdNHXscQIBTjrbvVDONSJvUiZUmJQcnzdKedNXfacOHrVTeGEvVUXfNljhkfXCPCGZykjbepAMtdRzUxlxoztUYlREGVIh'),
('Gary Hunter', 'Books', 5930.99, 191, 'rhsxSHDQuTKjXrFrxZELKlMMXsytZtjqaWAqTXGWnRrWGRrJBLjWaChnpZSPyFFcumytOMizWhSuschBIAlIDyGXjuGGgLsDorZg'),
('Jennifer Taylor', 'Electronics', 1701.03, 362, 'hXHdVwlxNrScyssaBaireLMFHPlAshObJPyCHwljWAIXSsjvNAgXrDaHgSQANtYpCmzeKezGPieFVVuuzrRerBmFHRlUrYjzmeJM'),
('William Ortiz', 'Home & Kitchen', 7786.3, 234, 'jZCMviZhaajcszPyLLcOipqywtQFbLmOtwUZTTiIrXhTkUUaQCEWjVDfgPeJKFSebRVHiWAqcAwiURSMiFCYkoNJRVnbQPlKfrSN'),
('Sarah Aguilar', 'Clothing', 6676.83, 369, 'MActRuQQAtnrLODLphKrfPkXIupYRCZMGhJnfRDxoVIunXbrAVeQlxXxXitRSTYMXUihyRLBWLroPgWMZiowhXccdWIujpckSSOg'),
('Linda Comley', 'Electronics', 4745.81, 19, 'jfNUyYFEjsmqyAPgVCBtxEggApaPBUuvuFsPqvygNPpqdQCKcKPwmrPxshRwMXhLEcmSQmfwnyJzYbycgMHBKpOxlnwROjUfPnWf'),
('Crystal Yates', 'Clothing', 786.86, 942, 'RXFERwYSZHKvDrtzfodhYxvEflYmmsYYDedqSSDSPccXXxVVkxUeUExmXxScVPhvhAiEsvpalhAaGXyTRFzJcsuacjOOGVErDkip'),
('Arlene Desrochers', 'Books', 705.42, 683, 'HoaRwhIOedytzmrpIVlVyVcwgIkGmBnoHfginMNWmKstdWaslQSqobCzGEgTiMbxmoKhxSjKpEyjkoZkSWMjKkmWeyQxWZgDcLtw'),
('Daniel Carrillo', 'Food', 5151.73, 708, 'JWPHxidxCmTdEOcuCbbhtkxudIIabwgNNGwWvvaqxTakAhtCUFxGrVzrShoKKReiINzYFrWcfHFXdpqneiYPkTCmvXaaHCGNTPrA'),
('Arlene Caverly', 'Books', 7336.36, 729, 'XOTpKKCAQCtOuwzGyyoivskaAVIpyYvmuePHSRVebtvNfkgseBPocoQPyDgwGojttImuQkFPBbOPiusYCfuyNopRoeLKfcVzUTdo'),
('Barbara Dobies', 'Food', 8989.37, 323, 'jvOTQtZBXRfujuKHwDZilfwjQeknsVXnEMsDZyolRnPuIsDvtEErkZcZDxCHcrAaKSjLkiQeVLIASTNIlSmRWvicpgrafgXsOFOq'),
('Wilma Klein', 'Food', 6649.26, 209, 'etHFTJLHwUbbNAxPAVSvkmblwXnjBaphyABQvQTzHGZgFOOTJeQCnPvVTfYQdGKmSHeiRtfbyHhLuGynXrFnRxpQZsidqmIhMhBF'),
('Richard Bromley', 'Clothing', 3242.19, 371, 'CIuqNwhEPlJLyXNuKbVtbmbChdWSZSZGNlnVpQEpcKoKQqXXVzhBUAzvamFwUfqwMBHKAQdYKIEaqcRUpEPQXuxCDDRdKgNvpUXw'),
('Isabella Koch', 'Clothing', 174.77, 962, 'NBOGPHkSubKeuMcZRMxGlWEjldQhxBAfYeduZwikIoPMkqOeXUhCCTUeHoUlyOsqkYGmwjOiRrFvBOQXsRQJxJkYOjZfvnkGODcP'),
('William Frierson', 'Food', 3252.45, 478, 'ZMLVeFQupSLmjttVOKayHVgvWKiIyJAjTtxuyJyxfbqmXkBGkftJjrXCsvCImImvBkqiRketBQwunavauwKBRJZPIpfmycAtTMpH'),
('Cary Lynn', 'Books', 304.49, 60, 'HTNZSmvhUgguCaBVzchuwkemPyxQLGzMbFUZynfZvrSNxXJrcnKrqLzUIpiBCCvcElcCbTabPDWqhxrdTRHYRjEVbKyrxDAGekYS'),
('Sadie Rogers', 'Clothing', 5248.89, 407, 'PeXJLZMKzbHSqlKOVQEJhgwjXeWZDNIlNsBSFQMIRlRNQjSFAzFnFGixERFtvqMYlkWdrDthHtQbVpfufRnmWoBGHxeOWwkUZhrY'),
('Fred Mccann', 'Home & Kitchen', 7916.58, 338, 'DBUSGBWBAfSNkuILIlgGfDqivxDZWJOUCmxyyrPyOpCBDIJnVVRXKZTjBiUzLNDtDYFxSFMSJCilUxUGCntbMARJrDLduQbOSmGm'),
('Michael Smith', 'Home & Kitchen', 5708.87, 370, 'mWXrRGPzyozIAZBcXWKJJfsHEifRrfqChiURtzYJRklOCLPfCznJhBBRdFbptjZMCKkaaxWvxmblpSDExflbFCoNFbukqzwvHhkx'),
('Maria Castro', 'Home & Kitchen', 3563.42, 123, 'PBVAWDOhMckXXHQwxUrwhVWEcTrlceWcxefUFPjQdYdLERyqLHdMuvWbfziMqFiWLnzAcHSTyWIrUrASsbKJMtCEaaazWDsxGpkt'),
('Melissa Staub', 'Clothing', 7686.83, 392, 'xRetzROazHPYuXDDVwgcUKHzUZRIiZfFSdsPPSTwvZuORhUeYPOidlcZzAgYKEgjfbnnVGxRZYSbeZDvIVrLKIJzywzjahZbAimJ'),
('David Salley', 'Electronics', 7600.62, 903, 'AxYqWxshzDbRWgPEWUWnJsnvqpoNYPbvqeJtzUNjNLZcPxQJVgKcMWvktKYgtZAdUcWVOqdrsnJwnDTAohyMtxYSVxZVpSHztElT'),
('Julia Jackson', 'Clothing', 4396.04, 665, 'ArWrOBkwwQaznvXOkOyPsadYEIqxpzmnnCbAFYoHDtKOldsuKpRdLDVMZbRwROGsQBBkQeSJLHJqocijaquLJXBhWJfzCEqkSTNl'),
('Pamela Bryant', 'Home & Kitchen', 894.23, 638, 'rSZJVGalLZAHhqgAvLhWlrUFdjhNnDrZshVEBeNuXXsjKYdHAJTGzTnPBvAXkivLYwRZjGLOzlFCYDxrNhrkqjfJSKlCcyXTXDcT'),
('Alvin Ackerman', 'Clothing', 2116.25, 660, 'eiFAHKamVXpxFkJSWrWzVbwlqTOnrOpxvsjryMyeWlrQRseSTvfHWogSpVKFibzyDBDabkungEgFvyTjOjxpBUTyRoBmbauNZuAN'),
('Steve Mcguinness', 'Food', 3200.07, 794, 'rnBFuSwvpbfccYeURvmsLZbhuqYEkYvDTXjluzcfFpBJqyWJBZPwBVPmeYnTRQKCWdXpGLhKDIDwOfzpkVsVbpmUYRAEciLcJFBb'),
('Marie Gonzalez', 'Home & Kitchen', 4805.89, 557, 'TYHsakXuVZOPDkanChSNKPXVvfAXHsuzDKhGMUJWCZJkLNGoJYEBRulPifriXZCeXUfBVmXjucBJchRGNXJZRJrDSsmEKGUZCxKc'),
('Ronald Stein', 'Food', 518.03, 552, 'EqrzOZQoZhxeiAbzFBjjwDnixqnDcsmwzsepVtGcrbVoeKrZurgtifnenMyJkbWalpRfolxnaKPWCuuxTtJkKXppYOdcFMEDXALr'),
('Melinda Robie', 'Food', 5460.44, 35, 'GkyyQrLZfbUqUmNgWGkLBeMjbdTPAbBmUpPOUXPomHUdTWobANhALeIwXlcIETyGnMWoKQmAURYezPVZsEvHhEvJWmOPWetbjGqz'),
('Bradley Giles', 'Books', 7229.74, 546, 'QAoUxaTdHheTeNqWNbpzTNeTBjcTzYZcqHhVSXybkPlMIwKYSbPDjxAySaIElJMHWvaSrNeRcYQKhcdnfYRhkYRdUjSIQaOOYHVO'),
('Adeline Mcgee', 'Clothing', 5402.62, 230, 'ltTBqUnMTBLBsJroYqvsSpRyXxicewzDKAGyfaGEcZaDfVCrvWrKGmhjYLSBlyTMmpAJJmNsWOkHEJNQpxrXVHDdwCXPdgZqZize'),
('Margaret Epperson', 'Clothing', 9389.89, 864, 'OpUsvPStSuNrvbCcxAxrvKsBbhkQRjiVZGAodJMTxrfstSZFVjLHqDoktwzugWVBJzcVkMAmpgVZsGjPIjSqiySUmcUdufKHHSDR'),
('Andy Hernandez', 'Electronics', 2601.73, 457, 'bGTwJTQDJzMSUbIVhdIXIoxbjvlGSqJNgXuKUyMIfkxhLaeeTVLuqrHdCZcTWidiGyLhnGBUXmJcAzJHuSrXjvoqxRpVXujFewhp'),
('Pamela Pillow', 'Food', 4486.35, 285, 'gKtKIIXkXjwFxgrLPbDhkSEgqbCBgbAsNWOMdGqLFFFuhHbAZUcUuuhpsuDbsIvwAKhkSZGpagqygnukJXGZKzoIAQgILsQaVQRG'),
('Van Findley', 'Books', 736.41, 360, 'teSwvpkvnGWKSrEwNgrwMjUECZDnqBFtJQBxprcrYtPaEQpwmzDgBIxCceQqFEkYnupsdHdrqmrVeILFcGBqoztcMJAhaqwtQLLy'),
('Lewis Kern', 'Food', 6054.0, 961, 'ScyPNffuEEPPxWQoJTdMtMhlMymKzTmtXzJukOqVcVYllPKIevredpwMZtfXWZkUyFPXfGqJUzgFOIKxVNOAnSNlnIeYCrhRTqys'),
('Harriett Vann', 'Electronics', 7817.27, 83, 'kKxSWLXvANnKwWNCJFjIKfRuWvQBNzzBYCDGZLpLpkuHSqKqajpQvhurLeDkoySTmqEduEHbOwrFtjxUXYlXLfmUzLViCjegRSzb'),
('Manuela Nalls', 'Books', 6632.44, 63, 'fPoLbYBaLcxNopkHczXvTrhSsGxYiRGUfMIYhPzqyUHUMVpGmhKWbHLtgulJicacrmjnsGQTJdSawHOZVUHvQqBRKdDTPDTkujKA'),
('Sheldon Hensley', 'Food', 9410.03, 393, 'ctfCdAbaObtRiCxWkzJKcadLgVnmZuZLoYwxOEgvngrCITmePPQZrFeLLWovFRXMAqnvNaZutaLzoQHuMeSZmHaTKwPNmkBUjmle'),
('Jillian Browne', 'Clothing', 8148.86, 344, 'pDOJcFOdNHUPImeJhxVKNLhMjtBpJLtwtLsRrRscuWDKrFZDXVfhVQSRfYXiwhkTUCgDmFUDRYHtmFghQSNadYxIRcHmDnqrysGk'),
('Tracy Sanders', 'Electronics', 6922.47, 955, 'mTbwRnthHftGViJVKWlImmkBYOOMoqNwJQZXIUPWXYRUGVtNfHndGfGnowMXkdvptwcHHxBKLuCOuixfyDVURerONQTFBLKKeSwW'),
('Ann Padgett', 'Electronics', 2167.28, 819, 'KiBNQprENVSBXHZazXWiMzwbKDhdCijOciXHEKQeEOhwUQLYqLmWFTIopTqGHoqgnJsNBsMBhaDkhVJurrhWzVjimSVFrTZqwBNa'),
('Marianne Fruchter', 'Electronics', 383.14, 294, 'yIqAwVFJsdCnTbfyOBWuRPXGZxVvBTMDBADZfFdCDByxREaCMkFXhkpeThtQXBSGRGhbyiziCgVxovylwOIheDkFdqIIhVkBWyug'),
('Jeanette Garner', 'Books', 5872.03, 606, 'wsQqFgPEMGaCNfphKmttcatxpmqtAUKiKbTEqSMqRsgCEnxoLVXVfGiExTKRCARMKvXSyhUTtQqOOYLypqWzFtBNUhVHEkvWlcOc'),
('Jeff Toban', 'Food', 8819.79, 73, 'bZDCKqJbakQKaUDuTZsEFvlauBFHUoxUEuzbQOxhAilOJHDHKvInwKywmOyTguWjExXqQhPNSYpwloGNcNGfaoyuZIQiXKUkvPmM'),
('Richard Pontiff', 'Food', 2610.12, 795, 'tLiHDRLMFoQFDtCFAbhONNiPslCDYzQkwQRshAglcmtwVSPjDcsENIAjDzgWgBTFpeIPYLXbbljVeANbImbQHwdWSoIqNqGpzIAt'),
('Marlon Donaldson', 'Electronics', 8674.44, 110, 'kyAnVckwVwEEoWmEYHcQbBdclnJXwWQnVHKizgLBexabUKrCMJeHQUDcitGypIqCBptmeaSDahDyPnRWOJswjreXFIqOlsaPMVyY'),
('Joyce Pearson', 'Books', 3196.48, 114, 'GViJzpsysIcWCNxrrrmzyhnqlFMfMjfwLnIKxhacqXUKbfhhaVlSJAIRkHVDPltVEOArskcmrLDRQvIqxZAyapWbVAjtGMDoYrYk'),
('Tawna Henderson', 'Electronics', 3752.31, 740, 'XHLGwOIUtWASIpKEaicEObShsySacnQaOSAHPGdZGRVPpOssnvTBxCcndepelLYiHFJLZJymmLObvCKnepjalJdHmyTOniWelyPf'),
('Pamela Matos', 'Home & Kitchen', 2634.11, 872, 'NeuErGPbRpEwwlHPLtUNgHCZkTzXwyKvdpqxftJYOWuUfFeGefWSqKbFuXhYPQqcLpeHIEyceOjLECbJqMhhsbDJFLxxJcLKkhvK'),
('Charles Zachery', 'Electronics', 7589.96, 787, 'MSsieesNtnBBtxwZpDGhZZbENQjOdCcobcETavzjXRUqIjvHPslhDgUlVgfhqjCizYMljYXerJkYdBFQJVKyDkDrPDBhjegNixpH'),
('David Ruiz', 'Clothing', 7353.66, 181, 'NCivBpjCKzzEpZYycXALpTMIPnOKKmFlCKSVdhJRxgrdktKQnYDFwVTqzLizJROowLzVuQOGZucvwVgJJDtcCilDCeVXjuBjsPHL');
